geoid,tract_name,borough,B25003_E001,B25003_M001,B25003_E002,B25003_M002,B25003_E003,B25003_M003
1400000US36005030202,"Census Tract 302.02, Bronx County, New York",Bronx,2683,269,1005,220,1678,305
1400000US36005030701,"Census Tract 307.01, Bronx County, New York",Bronx,2411,181,1426,190,985,243
1400000US36005030900,"Census Tract 309, Bronx County, New York",Bronx,1442,163,843,117,599,184
1400000US36005031000,"Census Tract 310, Bronx County, New York",Bronx,1291,201,932,174,359,175
1400000US36005031200,"Census Tract 312, Bronx County, New York",Bronx,532,77,288,76,244,65
1400000US36005031400,"Census Tract 314, Bronx County, New York",Bronx,596,127,389,83,207,115
1400000US36005031600,"Census Tract 316, Bronx County, New York",Bronx,711,125,459,118,252,131
1400000US36005031800,"Census Tract 318, Bronx County, New York",Bronx,542,84,365,81,177,72
1400000US36005031900,"Census Tract 319, Bronx County, New York",Bronx,6,10,0,14,6,10
1400000US36005032300,"Census Tract 323, Bronx County, New York",Bronx,2690,328,1885,351,805,214
1400000US36005032400,"Census Tract 324, Bronx County, New York",Bronx,1293,184,109,86,1184,195
1400000US36005032600,"Census Tract 326, Bronx County, New York",Bronx,1065,154,524,114,541,173
1400000US36005032800,"Census Tract 328, Bronx County, New York",Bronx,1407,192,174,74,1233,211
1400000US36005033000,"Census Tract 330, Bronx County, New York",Bronx,2087,232,203,139,1884,226
1400000US36005033201,"Census Tract 332.01, Bronx County, New York",Bronx,2258,424,579,169,1679,440
1400000US36005033202,"Census Tract 332.02, Bronx County, New York",Bronx,1478,226,313,139,1165,196
1400000US36005033400,"Census Tract 334, Bronx County, New York",Bronx,8,8,0,14,8,8
1400000US36005033500,"Census Tract 335, Bronx County, New York",Bronx,801,136,381,74,420,127
1400000US36005033601,"Census Tract 336.01, Bronx County, New York",Bronx,2188,248,131,73,2057,257
1400000US36005033602,"Census Tract 336.02, Bronx County, New York",Bronx,589,87,277,106,312,79
1400000US36005033700,"Census Tract 337, Bronx County, New York",Bronx,1049,149,758,160,291,111
1400000US36005033801,"Census Tract 338.01, Bronx County, New York",Bronx,913,292,152,62,761,301
1400000US36005033802,"Census Tract 338.02, Bronx County, New York",Bronx,528,98,73,40,455,106
1400000US36005034000,"Census Tract 340, Bronx County, New York",Bronx,1762,253,395,144,1367,265
1400000US36005034200,"Census Tract 342, Bronx County, New York",Bronx,625,174,245,71,380,175
1400000US36005034300,"Census Tract 343, Bronx County, New York",Bronx,575,78,264,80,311,88
1400000US36005034400,"Census Tract 344, Bronx County, New York",Bronx,586,144,341,80,245,144
1400000US36005034500,"Census Tract 345, Bronx County, New York",Bronx,1680,143,919,199,761,144
1400000US36005034800,"Census Tract 348, Bronx County, New York",Bronx,2106,309,858,299,1248,303
1400000US36005035000,"Census Tract 350, Bronx County, New York",Bronx,790,181,298,72,492,182
1400000US36005035100,"Census Tract 351, Bronx County, New York",Bronx,1258,207,574,118,684,218
1400000US36005035600,"Census Tract 356, Bronx County, New York",Bronx,678,76,398,96,280,93
1400000US36005035800,"Census Tract 358, Bronx County, New York",Bronx,2646,518,1923,459,723,243
1400000US36005035900,"Census Tract 359, Bronx County, New York",Bronx,1693,169,145,98,1548,189
1400000US36005036000,"Census Tract 360, Bronx County, New York",Bronx,962,128,639,128,323,84
1400000US36005036100,"Census Tract 361, Bronx County, New York",Bronx,1969,249,69,75,1900,256
1400000US36005036300,"Census Tract 363, Bronx County, New York",Bronx,2458,308,52,52,2406,307
1400000US36005036400,"Census Tract 364, Bronx County, New York",Bronx,857,150,433,84,424,147
1400000US36005036501,"Census Tract 365.01, Bronx County, New York",Bronx,1445,152,94,88,1351,172
1400000US36005036502,"Census Tract 365.02, Bronx County, New York",Bronx,768,94,34,41,734,106
1400000US36005036700,"Census Tract 367, Bronx County, New York",Bronx,777,174,77,53,700,177
1400000US36005036800,"Census Tract 368, Bronx County, New York",Bronx,624,139,360,147,264,64
1400000US36005036901,"Census Tract 369.01, Bronx County, New York",Bronx,763,104,83,97,680,66
1400000US36005036902,"Census Tract 369.02, Bronx County, New York",Bronx,850,63,29,30,821,76
1400000US36005037000,"Census Tract 370, Bronx County, New York",Bronx,735,100,389,98,346,94
1400000US36005037100,"Census Tract 371, Bronx County, New York",Bronx,1769,217,216,82,1553,225
1400000US36005037200,"Census Tract 372, Bronx County, New York",Bronx,852,101,300,92,552,98
1400000US36005037300,"Census Tract 373, Bronx County, New York",Bronx,2382,338,167,122,2215,383
1400000US36005037400,"Census Tract 374, Bronx County, New York",Bronx,1506,174,226,162,1280,124
