geoid,tract_name,borough,B19013_E001,B19013_M001
1400000US36005033802,"Census Tract 338.02, Bronx County, New York",Bronx,62153,19388
1400000US36005034000,"Census Tract 340, Bronx County, New York",Bronx,63500,18670
1400000US36005034200,"Census Tract 342, Bronx County, New York",Bronx,73298,6770
1400000US36005034300,"Census Tract 343, Bronx County, New York",Bronx,76940,31070
1400000US36005034400,"Census Tract 344, Bronx County, New York",Bronx,79167,19210
1400000US36005034500,"Census Tract 345, Bronx County, New York",Bronx,100539,12838
1400000US36005034800,"Census Tract 348, Bronx County, New York",Bronx,55700,27949
1400000US36005035000,"Census Tract 350, Bronx County, New York",Bronx,72778,16690
1400000US36005035100,"Census Tract 351, Bronx County, New York",Bronx,94948,44712
1400000US36005035600,"Census Tract 356, Bronx County, New York",Bronx,85962,28307
1400000US36005035800,"Census Tract 358, Bronx County, New York",Bronx,87553,19553
1400000US36005035900,"Census Tract 359, Bronx County, New York",Bronx,34472,12519
1400000US36005036000,"Census Tract 360, Bronx County, New York",Bronx,85708,15340
1400000US36005036100,"Census Tract 361, Bronx County, New York",Bronx,29250,20424
1400000US36005036300,"Census Tract 363, Bronx County, New York",Bronx,27273,10637
1400000US36005036400,"Census Tract 364, Bronx County, New York",Bronx,64850,21548
1400000US36005036501,"Census Tract 365.01, Bronx County, New York",Bronx,47739,6406
1400000US36005036502,"Census Tract 365.02, Bronx County, New York",Bronx,27110,9637
1400000US36005036700,"Census Tract 367, Bronx County, New York",Bronx,27465,9457
1400000US36005036800,"Census Tract 368, Bronx County, New York",Bronx,65781,28858
1400000US36005036901,"Census Tract 369.01, Bronx County, New York",Bronx,16232,7229
1400000US36005036902,"Census Tract 369.02, Bronx County, New York",Bronx,36484,12922
1400000US36005037000,"Census Tract 370, Bronx County, New York",Bronx,108523,43686
1400000US36005037100,"Census Tract 371, Bronx County, New York",Bronx,39932,17019
1400000US36005037200,"Census Tract 372, Bronx County, New York",Bronx,75224,9388
1400000US36005037300,"Census Tract 373, Bronx County, New York",Bronx,50000,17648
1400000US36005037400,"Census Tract 374, Bronx County, New York",Bronx,35785,11843
1400000US36005037504,"Census Tract 375.04, Bronx County, New York",Bronx,40219,14692
