geoid,tract_name,borough,B05002_E001,B05002_M001,B05002_E002,B05002_M002,B05002_E003,B05002_M003,B05002_E004,B05002_M004,B05002_E005,B05002_M005,B05002_E006,B05002_M006,B05002_E007,B05002_M007,B05002_E008,B05002_M008,B05002_E009,B05002_M009,B05002_E010,B05002_M010,B05002_E011,B05002_M011,B05002_E012,B05002_M012,B05002_E013,B05002_M013,B05002_E014,B05002_M014,B05002_E015,B05002_M015,B05002_E016,B05002_M016,B05002_E017,B05002_M017,B05002_E018,B05002_M018,B05002_E019,B05002_M019,B05002_E020,B05002_M020,B05002_E021,B05002_M021,B05002_E022,B05002_M022,B05002_E023,B05002_M023,B05002_E024,B05002_M024,B05002_E025,B05002_M025,B05002_E026,B05002_M026,B05002_E027,B05002_M027
1400000US36005017100,"Census Tract 171, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005017300,"Census Tract 173, Bronx County, New York",Bronx,5266,984,3435,1157,2872,1008,410,500,68,112,0,19,188,194,154,214,153,135,53,76,0,19,100,131,1831,597,1059,404,0,19,22,40,443,188,0,19,594,353,0,19,772,340,0,19,0,19,11,26,0,19,761,332,0,19
1400000US36005017500,"Census Tract 175, Bronx County, New York",Bronx,6264,976,4582,953,3649,977,561,320,102,113,0,19,459,287,0,19,372,176,308,176,0,19,64,70,1682,633,979,433,0,19,0,19,240,150,0,19,739,417,0,19,703,458,0,19,0,19,365,336,0,19,338,302,0,19
1400000US36005017701,"Census Tract 177.01, Bronx County, New York",Bronx,5395,828,2105,718,1446,701,274,297,185,300,0,19,81,55,8,15,385,190,221,169,9,19,155,125,3290,871,878,322,0,19,28,40,110,81,0,19,740,281,0,19,2412,874,0,19,41,68,554,411,0,19,1817,999,0,19
1400000US36005017702,"Census Tract 177.02, Bronx County, New York",Bronx,5232,1071,2927,1021,2138,723,485,457,121,170,146,196,218,226,0,19,304,293,51,48,0,19,253,289,2305,668,1483,496,0,19,257,313,500,301,0,19,726,323,0,19,822,410,9,21,33,54,276,263,0,19,504,321,0,19
1400000US36005017901,"Census Tract 179.01, Bronx County, New York",Bronx,4968,876,2776,476,2227,465,259,132,100,88,0,14,159,94,0,14,290,130,83,68,0,14,207,98,2192,773,940,250,0,14,112,103,53,56,0,14,775,256,0,14,1252,716,0,14,47,63,54,102,0,14,1151,718,0,14
1400000US36005017902,"Census Tract 179.02, Bronx County, New York",Bronx,3030,729,1882,680,1450,469,181,160,0,14,0,14,181,160,0,14,251,210,24,28,0,14,227,212,1148,367,471,233,0,14,0,14,82,81,0,14,389,217,0,14,677,326,0,14,0,14,77,69,0,14,600,324,0,14
1400000US36005018101,"Census Tract 181.01, Bronx County, New York",Bronx,2881,709,1877,562,1326,468,357,252,80,124,19,30,258,223,0,14,194,143,80,79,50,75,64,87,1004,339,633,246,0,14,0,14,52,65,0,14,581,243,0,14,371,186,0,14,1,2,67,97,0,14,303,184,0,14
1400000US36005018102,"Census Tract 181.02, Bronx County, New York",Bronx,5324,919,3258,854,2452,563,283,133,70,69,34,44,125,76,54,60,523,528,66,82,0,19,457,523,2066,425,1056,330,5,10,0,19,373,230,54,90,624,205,0,19,1010,331,0,19,0,19,223,109,0,19,787,348,0,19
1400000US36005018301,"Census Tract 183.01, Bronx County, New York",Bronx,3933,561,2340,469,1617,428,599,232,135,103,87,79,258,111,119,80,124,68,53,48,0,14,71,48,1593,358,1033,259,14,21,53,50,109,82,0,14,788,244,69,111,560,206,0,14,63,59,59,52,0,14,438,206,0,14
