geoid,tract_name,borough,B15003_E001,B15003_M001,B15003_E002,B15003_M002,B15003_E003,B15003_M003,B15003_E004,B15003_M004,B15003_E005,B15003_M005,B15003_E006,B15003_M006,B15003_E007,B15003_M007,B15003_E008,B15003_M008,B15003_E009,B15003_M009,B15003_E010,B15003_M010,B15003_E011,B15003_M011,B15003_E012,B15003_M012,B15003_E013,B15003_M013,B15003_E014,B15003_M014,B15003_E015,B15003_M015,B15003_E016,B15003_M016,B15003_E017,B15003_M017,B15003_E018,B15003_M018,B15003_E019,B15003_M019,B15003_E020,B15003_M020,B15003_E021,B15003_M021,B15003_E022,B15003_M022,B15003_E023,B15003_M023,B15003_E024,B15003_M024,B15003_E025,B15003_M025
1400000US36005046207,"Census Tract 462.07, Bronx County, New York",Bronx,4814,793,11,18,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,9,23,0,19,12,20,0,19,327,215,975,370,169,148,205,117,926,527,499,253,1002,372,586,287,93,98,0,19
1400000US36005046208,"Census Tract 462.08, Bronx County, New York",Bronx,3519,745,50,43,0,19,0,19,0,19,0,19,11,22,0,19,5,11,22,19,28,30,107,45,0,19,27,31,70,62,58,46,872,446,337,241,130,95,323,127,416,163,740,342,280,137,25,33,18,29
1400000US36005046209,"Census Tract 462.09, Bronx County, New York",Bronx,2483,621,71,60,0,14,0,14,0,14,0,14,0,14,31,48,0,14,17,28,0,14,17,29,50,43,90,81,38,40,159,103,865,478,99,71,217,92,151,90,84,53,409,359,172,126,13,20,0,14
1400000US36005048401,"Census Tract 484.01, Bronx County, New York",Bronx,2362,487,16,26,0,14,0,14,0,14,0,14,0,14,0,14,22,36,42,68,42,62,0,14,0,14,100,93,51,76,212,117,356,137,58,60,120,73,201,86,241,106,393,186,393,212,52,63,63,102
1400000US36005048402,"Census Tract 484.02, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005050400,"Census Tract 504, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005051601,"Census Tract 516.01, Bronx County, New York",Bronx,3341,682,23,35,0,14,0,14,0,14,0,14,0,14,0,14,0,14,45,83,23,46,19,32,0,14,0,14,25,45,99,62,783,336,60,64,94,77,315,171,294,177,583,414,623,252,139,97,216,130
1400000US36005051602,"Census Tract 516.02, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36047000100,"Census Tract 1, Kings County, New York",Brooklyn,4023,626,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,84,141,0,14,0,14,0,14,28,37,1,5,13,21,142,86,59,49,15,31,177,102,105,70,1446,301,1177,442,482,163,294,146
1400000US36047000200,"Census Tract 2, Kings County, New York",Brooklyn,829,198,69,56,0,14,0,14,0,14,0,14,0,14,25,28,5,8,23,21,11,14,35,50,89,86,0,14,13,17,9,13,124,59,39,41,17,20,71,47,97,49,112,59,49,44,41,42,0,14
1400000US36047000301,"Census Tract 3.01, Kings County, New York",Brooklyn,3433,454,15,22,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,12,2,18,31,0,14,93,103,68,65,45,47,350,218,70,57,1053,292,1012,297,516,221,181,122
1400000US36047000501,"Census Tract 5.01, Kings County, New York",Brooklyn,2912,441,2,3,0,14,0,14,0,14,0,14,0,14,11,18,54,88,26,42,0,14,0,14,13,20,0,14,8,13,12,18,65,57,0,14,13,27,205,114,48,39,1185,307,805,218,305,115,160,65
1400000US36047000502,"Census Tract 5.02, Kings County, New York",Brooklyn,2190,223,19,30,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,2,10,0,14,2,5,125,75,12,19,77,78,92,57,58,40,900,147,539,175,263,85,101,58
1400000US36047000700,"Census Tract 7, Kings County, New York",Brooklyn,3175,446,8,15,0,14,0,14,0,14,0,14,0,14,0,14,0,14,15,23,0,14,0,14,4,7,1,3,0,14,38,54,12,19,1,3,0,14,60,51,186,131,1349,386,909,225,505,209,87,71
1400000US36047000900,"Census Tract 9, Kings County, New York",Brooklyn,3821,629,60,65,0,19,0,19,0,19,0,19,0,19,0,19,19,2,0,19,0,19,0,19,0,19,0,19,0,19,0,19,32,55,48,51,31,52,43,52,47,45,1749,615,1109,297,636,314,47,58
1400000US36047001100,"Census Tract 11, Kings County, New York",Brooklyn,1322,201,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,12,15,8,11,17,16,3,6,36,27,92,54,22,21,543,138,344,97,196,94,49,25
1400000US36047001300,"Census Tract 13, Kings County, New York",Brooklyn,1985,305,16,25,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,1,2,1,3,0,14,0,14,57,45,1,3,35,32,125,85,75,70,679,181,687,190,150,60,158,83
1400000US36047001501,"Census Tract 15.01, Kings County, New York",Brooklyn,3024,325,170,104,0,14,0,14,0,14,0,14,0,14,0,14,0,14,48,78,27,45,37,45,91,94,0,14,68,87,12,12,417,214,64,66,23,28,176,118,75,79,1057,293,492,205,230,155,37,48
1400000US36047001502,"Census Tract 15.02, Kings County, New York",Brooklyn,3981,555,0,19,0,19,0,19,0,19,0,19,0,19,8,19,8,16,0,19,0,19,0,19,47,45,0,19,16,35,0,19,178,116,67,70,162,137,161,126,88,68,1479,331,1197,241,350,137,220,261
1400000US36047001801,"Census Tract 18.01, Kings County, New York",Brooklyn,1397,100,0,14,0,14,0,14,10,17,0,14,0,14,11,19,0,14,0,14,11,20,92,73,95,59,230,78,316,77,209,82,136,52,187,100,11,19,51,30,20,25,0,14,18,23,0,14,0,14
1400000US36047001802,"Census Tract 18.02, Kings County, New York",Brooklyn,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36047001803,"Census Tract 18.03, Kings County, New York",Brooklyn,11,2,2,4,0,14,0,14,0,14,0,14,0,14,0,14,0,14,1,5,0,14,0,14,0,14,0,14,0,14,0,14,4,7,0,14,2,4,0,14,0,14,1,3,1,5,0,14,0,14
1400000US36047001804,"Census Tract 18.04, Kings County, New York",Brooklyn,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36047002000,"Census Tract 20, Kings County, New York",Brooklyn,1045,270,36,45,0,14,0,14,0,14,0,14,19,28,13,20,14,19,56,51,32,51,45,33,55,49,32,30,28,43,15,24,342,131,23,22,11,46,78,43,103,56,76,42,37,42,15,21,15,25
1400000US36047002100,"Census Tract 21, Kings County, New York",Brooklyn,5103,650,0,19,0,19,0,19,0,19,0,19,0,19,0,19,1,2,0,19,0,19,0,19,0,19,0,19,0,19,0,19,117,119,0,19,79,100,59,70,82,94,2141,441,1765,401,468,183,391,256
1400000US36047002200,"Census Tract 22, Kings County, New York",Brooklyn,3155,472,120,71,0,14,0,14,1,2,0,14,95,114,33,41,61,56,78,54,83,75,51,63,158,150,102,71,41,50,69,62,582,166,128,80,133,60,155,82,129,69,532,170,411,203,35,29,158,162
1400000US36047002300,"Census Tract 23, Kings County, New York",Brooklyn,2354,521,138,86,0,14,0,14,57,94,0,14,0,14,0,14,112,161,25,48,0,14,58,102,61,60,27,50,94,109,40,39,677,325,198,117,241,192,191,159,91,52,238,155,93,110,13,21,0,14
1400000US36047002901,"Census Tract 29.01, Kings County, New York",Brooklyn,2017,266,202,104,0,14,0,14,0,14,0,14,0,14,0,14,1,2,54,55,52,65,28,47,0,14,88,85,55,51,140,110,448,179,250,199,161,131,135,90,43,43,276,133,67,70,4,8,13,22
1400000US36047003000,"Census Tract 30, Kings County, New York",Brooklyn,1378,259,15,18,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,13,20,14,16,99,71,7,10,0,14,26,28,247,179,0,14,56,42,72,37,46,31,506,194,190,83,49,32,38,33
1400000US36047003101,"Census Tract 31.01, Kings County, New York",Brooklyn,3013,402,12,18,0,14,0,14,0,14,9,16,0,14,7,16,0,14,18,23,0,14,27,18,0,14,9,15,18,31,8,16,197,85,42,46,162,134,325,214,106,75,1068,240,700,188,183,81,122,65
1400000US36047003102,"Census Tract 31.02, Kings County, New York",Brooklyn,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36047003300,"Census Tract 33, Kings County, New York",Brooklyn,3409,456,32,39,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,12,28,0,14,3,5,0,14,19,29,334,179,4,7,53,47,237,132,94,58,1486,439,715,208,351,169,69,75
1400000US36047003400,"Census Tract 34, Kings County, New York",Brooklyn,2587,415,291,363,0,14,0,14,0,14,0,14,0,14,0,14,42,67,0,14,48,78,8,13,29,34,0,14,37,56,15,20,195,103,148,98,46,45,207,91,154,79,685,162,576,147,72,53,34,33
1400000US36047003500,"Census Tract 35, Kings County, New York",Brooklyn,1768,230,15,22,0,14,0,14,0,14,0,14,0,14,0,14,9,14,0,14,0,14,0,14,0,14,0,14,10,15,51,47,167,67,57,38,52,43,163,90,111,58,590,164,314,108,150,80,79,47
1400000US36047003600,"Census Tract 36, Kings County, New York",Brooklyn,3041,276,71,46,0,14,0,14,0,14,0,14,0,14,0,14,3,7,24,34,0,14,35,24,0,14,7,13,7,11,70,66,354,169,150,123,55,40,212,115,313,216,700,156,853,191,78,67,109,76
1400000US36047003700,"Census Tract 37, Kings County, New York",Brooklyn,3455,386,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,51,45,0,14,141,158,0,14,53,61,99,80,86,70,1334,294,1243,331,293,155,155,109
1400000US36047003800,"Census Tract 38, Kings County, New York",Brooklyn,1192,290,8,16,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,11,12,0,14,0,14,18,22,77,71,107,50,49,50,73,54,88,57,23,25,428,259,119,46,168,82,23,17
1400000US36047003900,"Census Tract 39, Kings County, New York",Brooklyn,2221,268,32,40,0,14,0,14,0,14,0,14,11,18,0,14,12,24,0,14,0,14,12,29,20,25,0,14,0,14,23,32,116,78,53,35,24,28,46,38,48,56,928,211,436,117,412,142,48,35
1400000US36047004100,"Census Tract 41, Kings County, New York",Brooklyn,2678,332,31,44,0,14,0,14,0,14,0,14,9,13,25,56,0,14,0,14,4,7,19,26,8,14,37,56,5,12,37,47,161,37,23,28,74,55,174,99,28,30,1211,274,629,148,173,79,30,30
1400000US36047004300,"Census Tract 43, Kings County, New York",Brooklyn,3143,348,15,21,0,14,0,14,0,14,0,14,0,14,0,14,0,14,8,19,0,14,1,2,30,37,0,14,47,48,52,54,228,188,41,39,15,23,119,92,144,106,1421,255,704,241,253,107,65,44
1400000US36047004400,"Census Tract 44, Kings County, New York",Brooklyn,1738,210,23,25,0,14,0,14,0,14,0,14,0,14,6,9,0,14,0,14,7,12,17,18,7,11,34,41,0,14,6,9,353,165,12,20,47,40,125,55,83,42,413,108,348,104,189,72,68,36
1400000US36047004500,"Census Tract 45, Kings County, New York",Brooklyn,3121,471,3,3,0,14,0,14,0,14,0,14,0,14,15,22,0,14,0,14,0,14,0,14,0,14,0,14,18,33,0,14,136,73,52,82,71,44,136,83,52,37,1091,243,1152,315,364,131,31,34
1400000US36047004600,"Census Tract 46, Kings County, New York",Brooklyn,857,161,17,15,0,14,0,14,0,14,0,14,0,14,0,14,31,32,0,14,0,14,4,8,0,14,0,14,0,14,21,20,195,98,87,124,0,14,65,38,3,7,200,61,158,43,76,44,0,14
1400000US36047004700,"Census Tract 47, Kings County, New York",Brooklyn,1354,160,24,27,0,14,0,14,0,14,0,14,0,14,0,14,0,14,26,40,8,13,10,15,0,14,6,9,6,8,38,39,105,67,10,12,41,31,55,33,54,44,556,124,297,86,92,43,26,28
1400000US36047004900,"Census Tract 49, Kings County, New York",Brooklyn,2075,245,0,14,0,14,0,14,0,14,0,14,8,14,0,14,8,14,0,14,8,14,16,14,7,14,22,22,29,41,14,18,179,96,41,38,0,14,107,67,23,27,678,146,585,155,290,152,60,46
1400000US36047005000,"Census Tract 50, Kings County, New York",Brooklyn,1817,262,13,15,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,6,11,0,14,0,14,0,14,0,14,36,36,117,58,38,38,78,54,217,107,66,51,581,142,405,139,180,113,80,87
1400000US36047005100,"Census Tract 51, Kings County, New York",Brooklyn,1872,390,3,5,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,9,14,0,14,21,31,41,46,26,25,23,25,33,25,94,62,1004,314,420,141,156,97,42,51
1400000US36047005201,"Census Tract 52.01, Kings County, New York",Brooklyn,1533,208,73,52,0,14,9,15,0,14,0,14,0,14,0,14,11,18,0,14,0,14,48,48,0,14,27,32,0,14,9,14,260,93,14,14,39,42,79,65,147,85,552,166,166,86,99,61,0,14
