geoid,tract_name,borough,B08301_E001,B08301_M001,B08301_E002,B08301_M002,B08301_E003,B08301_M003,B08301_E004,B08301_M004,B08301_E005,B08301_M005,B08301_E006,B08301_M006,B08301_E007,B08301_M007,B08301_E008,B08301_M008,B08301_E009,B08301_M009,B08301_E010,B08301_M010,B08301_E011,B08301_M011,B08301_E012,B08301_M012,B08301_E013,B08301_M013,B08301_E014,B08301_M014,B08301_E015,B08301_M015,B08301_E016,B08301_M016,B08301_E017,B08301_M017,B08301_E018,B08301_M018,B08301_E019,B08301_M019,B08301_E020,B08301_M020,B08301_E021,B08301_M021
1400000US36047018400,"Census Tract 184, Kings County, New York",Brooklyn,1020,200,242,75,187,57,55,37,47,35,8,13,0,14,0,14,0,14,381,143,117,76,264,121,0,14,0,14,0,14,0,14,0,14,18,26,179,80,0,14,200,87
1400000US36047018501,"Census Tract 185.01, Kings County, New York",Brooklyn,1699,448,135,120,61,59,74,109,0,14,74,109,0,14,0,14,0,14,781,225,221,119,560,173,0,14,0,14,0,14,0,14,0,14,22,37,407,228,36,56,318,247
1400000US36047018600,"Census Tract 186, Kings County, New York",Brooklyn,1068,297,230,70,167,64,63,45,28,31,35,30,0,14,0,14,0,14,615,287,113,88,502,274,0,14,0,14,0,14,0,14,0,14,10,15,94,60,17,18,102,42
1400000US36047018700,"Census Tract 187, Kings County, New York",Brooklyn,737,127,101,62,72,55,29,27,29,27,0,14,0,14,0,14,0,14,166,67,15,17,105,44,0,14,0,14,46,39,0,14,0,14,28,23,42,29,51,36,349,109
1400000US36047018800,"Census Tract 188, Kings County, New York",Brooklyn,1281,255,441,163,417,163,24,25,24,25,0,14,0,14,0,14,0,14,485,168,4,6,469,165,0,14,0,14,12,20,54,82,0,14,0,14,43,29,0,14,258,115
1400000US36047019000,"Census Tract 190, Kings County, New York",Brooklyn,2077,507,520,295,262,151,258,259,83,53,168,267,0,14,7,11,0,14,1157,357,98,91,1039,317,20,32,0,14,0,14,0,14,0,14,0,14,202,103,9,30,189,176
1400000US36047019100,"Census Tract 191, Kings County, New York",Brooklyn,1736,274,181,121,111,106,70,76,65,75,0,14,0,14,0,14,5,17,752,171,50,56,658,158,15,26,0,14,29,32,9,14,0,14,47,38,161,100,19,25,567,141
1400000US36047019200,"Census Tract 192, Kings County, New York",Brooklyn,1070,231,254,127,210,126,44,44,44,44,0,14,0,14,0,14,0,14,370,156,19,33,351,156,0,14,0,14,0,14,0,14,0,14,14,22,293,141,8,10,131,78
1400000US36047019300,"Census Tract 193, Kings County, New York",Brooklyn,3026,523,503,278,464,270,39,46,22,28,0,19,17,34,0,19,0,19,1256,441,64,57,1149,409,0,19,0,19,43,67,18,27,46,52,19,30,530,243,0,19,654,254
1400000US36047019400,"Census Tract 194, Kings County, New York",Brooklyn,1750,509,309,144,240,130,69,59,47,47,0,14,0,14,22,35,0,14,675,213,110,92,565,192,0,14,0,14,0,14,0,14,0,14,58,86,102,86,26,42,580,434
